nThreads, MatrixName, NRows, NCol, NZ, k, time, err_rel, GFLOPS
26, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 8, 0.000033, 0.000000, 0.023716
27, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 8, 0.000030, 0.000000, 0.025972
28, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 8, 0.000028, 0.000000, 0.028463
29, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 8, 0.000029, 0.000000, 0.026885
30, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 8, 0.000029, 0.000000, 0.027439
31, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 8, 0.000033, 0.000000, 0.023950
32, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 8, 0.000031, 0.000000, 0.024900
33, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 8, 0.000032, 0.000000, 0.024721
34, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 8, 0.000029, 0.000000, 0.027257
35, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 8, 0.000032, 0.000000, 0.024793
36, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 8, 0.000031, 0.000000, 0.025329
37, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 8, 0.000032, 0.000000, 0.024451
38, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 8, 0.000028, 0.000000, 0.027945
39, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 8, 0.000034, 0.000000, 0.023293
1, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 12, 0.000003, 0.000000, 0.350940
2, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 12, 0.000057, 0.000000, 0.020766
3, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 12, 0.000109, 0.000000, 0.010792
4, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 12, 0.000605, 0.000000, 0.001944
5, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 12, 0.000020, 0.000000, 0.057721
6, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 12, 0.000022, 0.000000, 0.053107
7, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 12, 0.000019, 0.000000, 0.063482
8, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 12, 0.000029, 0.000000, 0.040482
9, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 12, 0.000255, 0.000000, 0.004607
10, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 12, 0.000030, 0.000000, 0.039615
11, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 12, 0.000025, 0.000000, 0.046906
12, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 12, 0.000029, 0.000000, 0.039946
13, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 12, 0.000027, 0.000000, 0.043633
14, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 12, 0.000027, 0.000000, 0.043547
15, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 12, 0.000026, 0.000000, 0.045038
16, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 12, 0.000026, 0.000000, 0.044717
17, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 12, 0.000026, 0.000000, 0.044535
18, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 12, 0.000027, 0.000000, 0.043767
19, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 12, 0.000026, 0.000000, 0.045309
20, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 12, 0.000027, 0.000000, 0.042881
21, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 12, 0.000026, 0.000000, 0.044796
22, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 12, 0.000031, 0.000000, 0.037904
23, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 12, 0.000032, 0.000000, 0.037160
24, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 12, 0.000027, 0.000000, 0.043236
25, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 12, 0.000026, 0.000000, 0.044404
26, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 12, 0.000031, 0.000000, 0.038180
27, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 12, 0.000032, 0.000000, 0.036255
28, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 12, 0.000030, 0.000000, 0.039513
29, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 12, 0.000028, 0.000000, 0.041484
30, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 12, 0.000031, 0.000000, 0.038346
31, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 12, 0.000028, 0.000000, 0.041824
32, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 12, 0.000029, 0.000000, 0.041107
33, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 12, 0.000029, 0.000000, 0.040163
34, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 12, 0.000032, 0.000000, 0.036743
35, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 12, 0.000030, 0.000000, 0.039554
36, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 12, 0.000030, 0.000000, 0.039062
37, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 12, 0.000032, 0.000000, 0.036994
38, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 12, 0.000029, 0.000000, 0.040175
39, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 12, 0.000285, 0.000000, 0.004126
1, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 0.000003, 0.000000, 0.531255
2, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 0.000037, 0.000000, 0.042190
3, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 0.000173, 0.000000, 0.009049
4, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 0.000300, 0.000000, 0.005229
5, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 0.000017, 0.000000, 0.092338
6, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 0.000017, 0.000000, 0.093757
7, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 0.000019, 0.000000, 0.084145
8, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 0.000033, 0.000000, 0.047988
9, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 0.000024, 0.000000, 0.064548
10, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 0.000023, 0.000000, 0.068085
11, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 0.000024, 0.000000, 0.064069
12, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 0.000025, 0.000000, 0.063745
13, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 0.000024, 0.000000, 0.064120
14, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 0.000023, 0.000000, 0.067089
15, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 0.000025, 0.000000, 0.061876
16, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 0.000025, 0.000000, 0.061549
17, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 0.000026, 0.000000, 0.059571
18, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 0.000025, 0.000000, 0.061532
19, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 0.000028, 0.000000, 0.056320
20, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 0.000024, 0.000000, 0.064098
21, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 0.000031, 0.000000, 0.050453
22, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 0.000029, 0.000000, 0.053710
23, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 0.000033, 0.000000, 0.047499
24, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 0.000027, 0.000000, 0.057031
25, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 0.000029, 0.000000, 0.053264
26, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 0.000030, 0.000000, 0.052717
27, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 0.000029, 0.000000, 0.053674
28, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 0.000027, 0.000000, 0.057105
29, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 0.000032, 0.000000, 0.049587
30, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 0.000029, 0.000000, 0.053234
31, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 0.000030, 0.000000, 0.051662
32, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 0.000030, 0.000000, 0.052781
33, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 0.000033, 0.000000, 0.047367
34, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 0.000032, 0.000000, 0.048782
35, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 0.000033, 0.000000, 0.046867
36, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 0.000034, 0.000000, 0.046378
37, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 0.000032, 0.000000, 0.048901
38, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 0.000032, 0.000000, 0.049562
39, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 0.000032, 0.000000, 0.048709
1, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 32, 0.000003, 0.000000, 0.905704
2, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 32, 0.000057, 0.000000, 0.054684
3, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 32, 0.000320, 0.000000, 0.009807
4, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 32, 0.000375, 0.000000, 0.008360
5, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 32, 0.000027, 0.000000, 0.114130
6, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 32, 0.000024, 0.000000, 0.129971
7, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 32, 0.000018, 0.000000, 0.175347
8, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 32, 0.000029, 0.000000, 0.108343
9, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 32, 0.000237, 0.000000, 0.013236
10, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 32, 0.000025, 0.000000, 0.127394
11, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 32, 0.000023, 0.000000, 0.135391
12, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 32, 0.000025, 0.000000, 0.127030
13, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 32, 0.000028, 0.000000, 0.113689
14, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 32, 0.000032, 0.000000, 0.099115
15, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 32, 0.000026, 0.000000, 0.119649
16, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 32, 0.000026, 0.000000, 0.122747
17, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 32, 0.000024, 0.000000, 0.129893
18, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 32, 0.000026, 0.000000, 0.119667
19, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 32, 0.000026, 0.000000, 0.120794
20, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 32, 0.000026, 0.000000, 0.119090
21, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 32, 0.000025, 0.000000, 0.126612
22, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 32, 0.000030, 0.000000, 0.104006
23, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 32, 0.000028, 0.000000, 0.110205
24, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 32, 0.000031, 0.000000, 0.099760
25, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 32, 0.000032, 0.000000, 0.097024
26, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 32, 0.000028, 0.000000, 0.111302
27, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 32, 0.000033, 0.000000, 0.094759
28, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 32, 0.000031, 0.000000, 0.101423
29, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 32, 0.000031, 0.000000, 0.101962
30, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 32, 0.000030, 0.000000, 0.106210
31, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 32, 0.000031, 0.000000, 0.100792
32, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 32, 0.000032, 0.000000, 0.099549
33, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 32, 0.000031, 0.000000, 0.102460
34, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 32, 0.000031, 0.000000, 0.101703
35, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 32, 0.000029, 0.000000, 0.106950
36, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 32, 0.000034, 0.000000, 0.092292
37, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 32, 0.000030, 0.000000, 0.103039
38, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 32, 0.000034, 0.000000, 0.092135
39, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 32, 0.000035, 0.000000, 0.089496
1, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 64, 0.000005, 0.000000, 1.195464
2, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 64, 0.000060, 0.000000, 0.104013
3, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 64, 0.000337, 0.000000, 0.018622
4, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 64, 0.000190, 0.000000, 0.033035
5, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 64, 0.000019, 0.000000, 0.321889
6, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 64, 0.000022, 0.000000, 0.288779
7, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 64, 0.000021, 0.000000, 0.295375
8, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 64, 0.000030, 0.000000, 0.206306
9, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 64, 0.000025, 0.000000, 0.246289
10, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 64, 0.000242, 0.000000, 0.025876
11, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 64, 0.000027, 0.000000, 0.235431
12, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 64, 0.000027, 0.000000, 0.233359
13, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 64, 0.000027, 0.000000, 0.236577
14, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 64, 0.000030, 0.000000, 0.212075
15, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 64, 0.000028, 0.000000, 0.224553
16, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 64, 0.000026, 0.000000, 0.237607
17, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 64, 0.000032, 0.000000, 0.193769
18, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 64, 0.000030, 0.000000, 0.206486
19, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 64, 0.000028, 0.000000, 0.221133
20, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 64, 0.000033, 0.000000, 0.189638
21, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 64, 0.000033, 0.000000, 0.192051
22, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 64, 0.000032, 0.000000, 0.198186
23, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 64, 0.000030, 0.000000, 0.211831
24, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 64, 0.000032, 0.000000, 0.196086
25, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 64, 0.000032, 0.000000, 0.197059
26, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 64, 0.000033, 0.000000, 0.192054
27, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 64, 0.000038, 0.000000, 0.165965
28, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 64, 0.000031, 0.000000, 0.202705
29, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 64, 0.000030, 0.000000, 0.206516
30, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 64, 0.000033, 0.000000, 0.187565
31, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 64, 0.000033, 0.000000, 0.189724
32, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 64, 0.000033, 0.000000, 0.190164
33, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 64, 0.000034, 0.000000, 0.185080
